Name,Main Price,Shipping Cost
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$65.00,+$4.02 shipping
2018 Donruss Josh Allen Rated Rookie #304 Bills RC SHARP / CENTERED! ,$61.00,+$4.99 shipping
2018 Panini Donruss Rated Rookie Blue Press Proof Josh Allen Buffalo Bills #304,$159.95,+$4.95 shipping
2018 Josh Allen Donruss Rated Rookie Card # 304,$60.00,+$4.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$55.16,+$11.03 shipping
2018 Panini Donruss - The Rookies #R-4 Josh Allen (RC),$35.00,+$5.95 shipping
2018 Panini Donruss Rookie Threads Josh Allen #4 Buffalo Bills,$40.00,+$5.00 shipping
"JOSH ALLEN - 2018 Panini Donruss ""The Rookies"" #R-4 - RC",$40.00,+$5.25 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,$40.79,+$4.99 shipping
2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),$102.50,+$1.12 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$52.00,+$5.15 shipping
2018 Donruss Josh Allen Rated Rookie NM/MINT,$80.00,Free shipping
2018 Donruss Josh Allen Rated Rookie #304 Bills RC,$60.00,+$5.25 shipping
2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),$14.50,+$3.84 shipping
2018 Panini Donruss - Rated Rookie Card #304 Josh Allen (RC),$70.00,Best offer accepted
2018 Donruss #304 Josh Allen RC Rookie Buffalo Bills,$59.79,+$5.40 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$0.99,Best offer accepted
Josh Allen 2018 Panini Donruss - Rated Rookie #304 (RC) Buffalo Bills,$69.99,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$4.02 shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen (RC),$64.99,+$4.95 shipping
2018 Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Buffalo Bills,$140.00,+$5.35 shipping
2018 Donruss #304 Josh Allen - Buffalo Bills Rated Rookie,$52.00,+$5.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$45.00,+$4.36 shipping
2018 Donruss Josh Allen Rated Rookie #304 Bills RC---NOT MINT READ!,$49.99,+$4.50 shipping
2018 Panini Donruss RATED ROOKIE Josh Allen RC #304 - BUFFALO BILLS,$79.99,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$44.00,+$4.02 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) Buffalo Bills,$45.00,+$5.95 shipping
2018 Panini Donruss - Rated Rookie Aqueous Test #304 Josh Allen (RC),$51.00,+$4.02 shipping
2021 Clearly Donruss 2018 Retro Rated Rookie Josh Allen Auto 🔥 SSP,$550.00,+$7.96 shipping
