Name,Main Price,Shipping Cost
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$50.00,+$5.00 shipping
"2018 Panini Donruss - Rated Rookie #304 Josh Allen, Josh Allen (RC)",$47.00,+$3.84 shipping
2018 Donruss Josh Allen Rated Rookie RC RR,$55.00,+$6.15 shipping
2018 Donruss Football JOSH ALLEN Rated Rookie Card #304 NM RC Buffalo Bills,$71.00,+$6.00 shipping
2018 Donruss Football JOSH ALLEN Press Proof Blue Rated Rookie Card #304 MINT!!,$51.00,+$6.00 shipping
2018 Panini Donruss JOSH ALLEN Gridiron Kings Rookie Insert #RGK-4 MINT!! Bills,$7.50,+$6.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) ROOKIE,$41.00,+$5.25 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$66.00,+$1.12 shipping
2018 Panini Donruss - Rated Rookie  #304 Josh Allen (RC)!Read Description ,$40.00,Best offer accepted
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$54.99,+$4.02 shipping
2018 DONRUSS #304 JOSH ALLEN RC Rated Rookie PSA 9 TZ,$50.00,+$5.85 shipping
2018 DONRUSS THE ROOKIES #R-4 JOSH ALLEN RC NMMT *328230,$27.00,+$3.00 shipping
2018 DONRUSS ROOKIE THREADS #4 JOSH ALLEN RC JERSEY NMMT *328228,$31.00,+$3.00 shipping
2018 DONRUSS #304 JOSH ALLEN RC MINT *327836,$51.00,+$3.00 shipping
2018 Panini Donruss JOSH ALLEN Rookie Phenom RC PLAYER WORN Jersey Patch Relic,$60.00,+$4.99 shipping
2018 Donruss Rated Rookie Josh Allen #304,$50.00,+$5.35 shipping
2018 Panini Donruss - Josh Allen RC Blue Press Proof Rookie (poor condition)!!,$10.50,+$5.99 shipping
2018 Donruss Josh Allen Rated Rookie RC RR,$59.00,Free shipping
2018 Donruss Josh Allen Rated Rookie RC Card 304,$50.00,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$54.33,+$4.36 shipping
2018 Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills,$135.00,Free shipping
2018 Panini Donruss Josh Allen Rated Rookie RC #304 Buffalo Bills,$58.00,+$4.75 shipping
2018 Donruss Josh Allen #304 Rated Rookie RC,$61.00,+$5.55 shipping
2018 Panini Donruss - Rated Rookie Josh Allen #304 (RC),$77.00,+$4.36 shipping
2018 Panini Donruss Josh Allen Rated Rookie #304 Green Press Proof,$128.69,+$4.36 shipping
Josh Allen 2018 Panini Donruss - Rated Rookie #304 (RC) Card Buffalo Bills,$69.95,+$5.95 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$64.99,Free shipping
Josh Allen Rated Rookie 2018 Donruss,$35.00,+$4.02 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) ,$49.00,+$4.02 shipping
Josh Allen 2018 donruss Rated Rookie,$61.00,+$4.11 shipping
2018 Panini Donruss Josh Allen Rated Rookie RC #304 Buffalo Bills,$54.99,Free shipping
2018 Panini Donruss Josh Allen RC Rated Rookie #304 Buffalo Bills,$67.00,+$4.75 shipping
2018 Panini Donruss The Rookies #R-4 Josh Allen Buffalo Bills RC,$40.00,+$1.87 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$55.00,+$5.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$70.00,+$4.11 shipping
2022 Clearly Donruss Josh Allen 2018 Retro Rated Rookie #18-1 SP Buffalo Bills,$49.99,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$52.00,+$6.95 shipping
2018 Panini Donruss Josh Allen Rated Rookie Card RC #304 Bills,$49.50,+$4.75 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$65.00,+$4.19 shipping
2018 Panini Donruss Josh Allen Rated Rookie RC #304 Buffalo Bills,$74.99,+$5.55 shipping
2018 Donruss Rated Rookie Josh Allen,$50.00,+$6.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$69.99,+$5.55 shipping
2018 Josh Allen Panini  Donruss Rated Rookie Card # 304,$55.00,+$4.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$3.96 shipping
Josh Allen 2018 Donruss Rated Rookie,$50.00,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$56.00,+$1.12 shipping
Josh Allen 2018 Panini Donruss The Rookies Rookie Card RC #R4 BUFFALO BILLS Mint,$37.99,Free shipping
2018 Panini Donruss JOSH ALLEN Rookie Phenom RC PLAYER WORN Jersey Patch Relic,$39.99,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$49.99,+$4.02 shipping
2018 Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Buffalo Bills,$60.65,+$10.23 shipping
2018 Donruss JOSH ALLEN Rookie Gridiron Kings RC Bills #RGK-4,$24.99,+$4.99 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$75.99,+$5.25 shipping
Josh Allen 2018 Donruss Rated Rookie #304,$53.00,+$5.20 shipping
2022 Clearly Donruss JOSH ALLEN 2018 Retro Rated Rookie RR SSP Buffalo Bills,$50.00,Best offer accepted
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$63.00,+$4.02 shipping
JOSH ALLEN #304 2018 Panini Donruss RATED ROOKIE RC BILLS,$69.99,+$3.00 shipping
2018 Panini Donruss Josh Allen Rc #304,$49.99,Free shipping
2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 🔥Josh Allen🔥 (RC),$19.99,+$3.96 shipping
JOSH ALLEN 2018 PANINI DONRUSS FOOTBALL R-4 THE ROOKIES BILLS,$34.99,Free shipping
