Sold Date,Name,Main Price,Shipping Cost
2024-07-05,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,4.36
2024-07-05,2018 Donruss - Josh Allen - Rookie Threads Material Relic Card - Buffalo Bills,50.00,3.96
2024-07-05,2018 Panini Donruss BLUE PRESS PROOF - Rated Rookie #304 Josh Allen (RC),99.00,5.25
2024-07-05,Josh Allen 2018 Donruss Gridiron Kings Rookie #RGK-4 Bills EX/NM,25.00,0
2024-07-04,2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),15.00,4.11
2024-07-04,Josh Allen 2018 Patch Donruss passing the torch /49 Jim Kelly 1 on ebay Rare!!,399.99,5.99
2024-07-03,2022 Panini Clearly Donruss Josh Allen Rated Rookie RC 2018 Retro Rookie,12.50,5.25
2024-07-03,Josh Allen 2018 Donruss Rated Rookie Buffalo Bills,50.00,4.02
2024-07-02,Josh Allen 2018 Donruss Rated Rookie RC #304 Buffalo Bills A26,56.00,5.00
2024-07-02,2018 Panini Donruss Josh Allen Rated Rookie #304 RC Bills NICE,65.00,4.02
2024-07-02,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),51.99,4.02
2024-07-02,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),60.00,4.02
2024-07-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),60.00,4.02
2024-07-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),32.00,5.45
2024-07-01,2018 Donruss Rated Rookie Josh Allen #304 (RC),54.00,4.02
2024-07-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) (Funky Lower Left Corner,19.99,0.64
2024-07-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,4.11
2024-06-30,2018 Donruss Press Proof Blue #304 Josh Allen RATED ROOKIE RC BILLS,89.99,12.45
2024-06-30,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC)  bills. ns4,47.99,5.35
2024-06-30,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,5.35
2024-06-29,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),53.00,1.12
2024-06-29,2018 Donruss Josh Allen Rated Rookie Bills,50.00,4.36
2024-06-29,2018 Panini Donruss JOSH ALLEN #R-4 The Rookies RC-Buffalo Bills,19.99,4.11
2024-06-28,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.88,1.50
2024-06-27,2018 Panini Donruss Josh Allen Rated Rookie #304 RC Bills,49.88,5.55
2024-06-27,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,0
2024-06-27,2018 Donruss Josh Allen #304 RC | Soft Corner - See pictures - Read Description,39.99,4.95
2024-06-27,2018 Donruss Josh Allen Rated Rookie PSA 10 Bills,130.00,4.36
2024-06-26,2018 Panini Donruss - Josh Allen Rookie Gridiron Kings #RGK-4 Buffalo Bills,7.50,4.02
2024-06-26,2018 Panini Donruss #RGK-4 Josh Allen Rookie Gridiron Kings,8.50,4.99
2024-06-26,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),46.00,3.86
2024-06-26,2018 Donruss Josh Allen Rookie RC Card # 304,49.50,3.95
2024-06-25,2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),20.00,1.12
2024-06-25,2018 Panini Donruss Josh Allen Rated Rookie Card RC #304 Buffalo Bills,57.56,4.75
2024-06-25,2018 Panini Donruss Josh Allen RC #304 Rated Rookie Buffalo Bills,59.99,5.55
2024-06-24,"2018 Panini Donruss - Rookie Threads #4 Josh Allen (MEM, RC)",20.00,4.02
2024-06-24,2018 Panini Donruss Football - Josh Allen Rated Rookie #304 - Bills,46.00,5.25
2024-06-24,2018 Panini Donruss #304 Josh Allen Rated Rookie,54.99,4.02
2024-06-24,2018 Panini Donruss Football RC The Rookies Josh Allen R-4,22.50,4.50
2024-06-23,2018 Josh Allen Panini Donruss Rated Rookie #304 RC,43.00,5.55
2024-03-21,2018 Panini Donruss Rookie Phenom #4 Josh Allen Rookie Jersey Card RC BILLS,99.98,5.90
2024-06-23,2018 Panini Donruss - The Rookies #R-4 Josh Allen (RC),27.00,1.12
2024-06-22,2018 PANINI DONRUSS JOSH ALLEN ROOKIE CARD RC BILLS,45.00,5.25
2024-06-21,2018 PANINI DONRUSS JOSH ALLEN BLUE PRESS PROOF SP ROOKIE CARD RC BILLS,70.00,5.25
2024-06-21,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),51.00,4.02
2024-06-21,2018 Panini Donruss Rated Rookie #304 Josh Allen RC -Damage See Pics-,21.50,1.12
2024-06-21,2018 Panini Donruss Rated Rookie #304 Josh Allen RC Card Bills,54.99,5.15
2024-06-21,2018 Panini Donruss Rated Rookie Josh Allen #304 RC,60.00,5.15
2024-06-21,2018 NFL Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills,100.00,4.99
