Sold Date,Name,Main Price,Shipping Cost,Listing Total
2024-08-10,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),65.0,4.02,69.02
2024-08-10,New Listing2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),5.0,3.96,8.96
2024-08-10,2018 Panini Donruss Rated Rookie Josh Allen Rc #304 💥🏈,54.0,4.99,58.99
2024-08-10,2018 Donruss Rated Rookie Josh Allen #304,60.0,0.0,60.0
2024-08-09,Josh Allen (RC) 2018 Panini Donruss - Rated Rookie #304 ,50.0,4.02,54.02
2024-08-09,JOSH ALLEN 2018 DONRUSS FOOTBALL RATED ROOKIE BILLS #304 RC Q2814,47.0,5.5,52.5
2024-08-09,2018 Donruss  - Rated Rookie #304 Josh Allen (RC) Perfect Card!! Super Clean RC,55.0,4.36,59.36
2024-08-08,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),35.0,4.02,39.02
2024-08-07,2018 Donruss #304 Josh Allen Rated Rookie RC BILLS,42.0,4.75,46.75
2024-08-07,2018 Panini Donruss Rated Rookie #304 Josh Allen RC Rookie,40.0,4.11,44.11
2024-08-07,2018 Panini Donruss Rated Rookie #304 Josh Allen RC Rookie,49.99,4.02,54.01
2024-08-06,2018 Panini Donruss Rated Rookie #304 Josh Allen RC Rookie,41.0,5.99,46.99
2024-08-06,2018 Panini Donruss Rated Rookie #304 Josh Allen RC Rookie,41.0,5.99,46.99
2024-08-06,Josh Allen - Buffalo Bills / 2018 Donruss Rated Rookie    Card #304   Nice RC!,50.0,3.95,53.95
2024-08-06,2018 Donruss #304 Josh Allen RC RATED ROOKIE BILLS,49.0,4.75,53.75
2024-08-06,2018 Donruss Josh Allen RC RATED ROOKIE #304 BILLS,59.99,3.96,63.95
2024-08-05,2018 Donruss #304 Josh Allen RR RC Buffalo Bills A44 291,56.52,4.99,61.51
2024-08-05,2018 Donruss #304 Josh Allen RR RC Buffalo Bills A44 290,56.52,4.99,61.51
2024-08-04,2018 Donruss Rated Rookie #304 Josh Allen RR RC Buffalo Bills,75.0,5.0,80.0
2024-08-04,2018 Panini Donruss Josh Allen Rated Rookie #304 Buffalo Bills- READ,25.49,4.0,29.49
2024-08-04,2018 Donruss #304 Josh Allen Rated Rookie RC,49.0,5.55,54.55
2024-08-04,2018 Panini Donruss Rated Rookie #304 Josh Allen Buffalo Bills RC,55.0,0.0,55.0
2024-08-04,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.5,3.96,54.46
2024-08-04,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.5,3.96,54.46
2024-08-04,2018 Donruss #304 Josh Allen RC,50.0,5.0,55.0
2024-08-04,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),52.49,0.0,52.49
2024-08-03,2018 Donruss #304 Josh Allen Rated Rookie Card TCCCX,55.0,5.35,60.35
2024-08-02,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),51.0,3.86,54.86
2024-08-02,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),47.0,5.1,52.1
2024-08-02,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),49.99,4.95,54.94
2024-08-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),65.0,4.11,69.11
2024-08-01,2018 Donruss Josh Allen Rated Rookie Buffalo Bills 304 RC,44.99,3.96,48.95
2024-08-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),44.0,5.0,49.0
2024-07-31,2018 Panini Donruss Football #304 Josh Allen Rated Rookie Bills NM-M/ Read!!,39.95,5.25,45.2
2024-07-30,2018 Donruss: #304 Josh Allen Rr RC NM-MT OR BETTER *GMCARDS*,80.0,4.95,84.95
2024-07-30,2018 Donruss Josh Allen Rated Rookie Card RC #304 Bills,41.0,4.75,45.75
2024-07-29,2018 Panini Donruss JOSH ALLEN Rated Rookie RC #304 Buffalo Bills 🔥🔥🔥,55.0,5.15,60.15
2024-07-29,2018 Donruss Josh Allen Rated Rookie Buffalo Bills 304 RC,46.0,3.95,49.95
2024-07-28,2018 Panini Donruss JOSH ALLEN Rated Rookie RC #304 Buffalo Bills 🔥🔥🔥,55.76,5.25,61.01
2024-07-28,2018 Donruss Josh Allen Rated Rookie 304 Bills,50.0,5.4,55.4
2024-07-28,2018 Donruss Josh Allen Rated Rookie Buffalo Bills 304,54.99,4.99,59.98
2024-07-28,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),51.25,0.0,51.25
2024-07-28,2018 Panini Donruss Rated Rookie #304 Josh Allen (RC),55.0,5.99,60.99
