Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-09-13,2018 Panini Donruss Rated Rookie Josh Allen RC #304 Buffalo Bills,75.0,0.0,75.0,or Best Offer
2024-09-12,2018 Panini Donruss - Rated Rookie #304 Josh Allen Bills HOT,47.0,0.0,47.0,14 bids
2024-09-12,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),41.0,4.11,45.11,2 bids
2024-09-12,2018 Donruss Rated Rookie Josh Allen Buffalo Bills #304 RC,44.18,6.26,50.44,or Best Offer
2024-09-12,2018 Donruss Rated Rookie Josh Allen Buffalo Bills #304 RC,55.0,5.5,60.5,or Best Offer
2024-09-11,2018 Josh Allen Panini Donruss - 💥Rated Rookie #304  (RC)  💥🏈,58.0,4.99,62.99,Buy It Now
2024-09-11,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) *Read Description *,26.0,5.25,31.25,7 bids
2024-09-10,2018 Panini Donruss Josh Allen Rated Rookie Card Bills #304 NFL,29.99,3.96,33.95,1 bid
2024-09-09,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),85.0,0.0,85.0,Best offer accepted
2024-09-09,2018 Donruss Rated Rookie Josh Allen Buffalo Bills #304,50.0,4.99,54.99,Best offer accepted
2024-09-09,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),55.0,3.96,58.96,or Best Offer
2024-09-08,DA84578  2018 Donruss #304 Josh Allen RR RC,57.0,5.0,62.0,13 bids
2024-09-08,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),35.0,4.02,39.02,or Best Offer
2024-09-08,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),45.0,4.02,49.02,Buy It Now
2024-09-07,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),37.01,3.96,40.97,9 bids
2024-09-07,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),48.0,3.96,51.96,Best offer accepted
2024-09-07,2018 Donruss Josh Allen Rookie Bills # 304,45.0,4.5,49.5,Best offer accepted
2024-09-06,JOSH ALLEN 2018 PANINI DONRUSS FOOTBALL RATED ROOKIE BILLS #304 RC,44.15,7.36,51.51,Buy It Now
2024-09-05,🔥🏈 JOSH ALLEN ROOKIE 🏈🔥  2018 Panini Donruss - Rated Rookie #304,59.5,1.29,60.79,15 bids
2024-09-05,2018 PANINI DONRUSS #304 JOSH ALLEN RATED ROOKIE RC ,44.18,7.73,51.91,13 bids
2024-09-05,2018 Panini Donruss - Rated Rookie #304 JOSH ALLEN  (RC) BILLS,40.0,4.02,44.02,Best offer accepted
2024-09-01,JOSH ALLEN 2018 PANINI DONRUSS FOOTBALL RATED ROOKIE BILLS #304 RC Q2822,39.0,5.5,44.5,17 bids
2024-09-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),45.0,3.84,48.84,Best offer accepted
2024-09-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen Base (RC) Buffalo Bills,49.95,0.0,49.95,Best offer accepted
2024-09-01,2018-19 Panini Donruss Football Josh Allen Rated Rookie RC #304 Buffalo Bills,47.0,5.95,52.95,10 bids
